release_date,title,runtime,tagline,vote_average,vote_count,director
14-12-2000,Miss Congeniality,111.0,Never Mess With An Agent In A Dress.,6.1,961,Donald Petrie
10-07-2008,Journey to the Center of the Earth,93.0,Same Planet. Different World.,5.8,1309,Eric Brevig
06-08-2004,The Princess Diaries 2: Royal Engagement,113.0,It can take a lifetime to find true love; she's got 30 days!,6.0,697,Garry Marshall
16-12-1993,The Pelican Brief,141.0,Two Supreme Court Justices have been assassinated. One lone law student has stumbled upon the truth. An investigative journalist wants her story. Everybody else wants her dead.,6.3,371,Alan J. Pakula
20-07-1994,The Client,119.0,A district attorney out for a conviction. A new lawyer out of her league. A young boy who knew too much.,6.4,278,Joel Schumacher
25-12-2007,The Bucket List,97.0,Find the joy.,7.0,1111,Rob Reiner
04-06-1992,Patriot Games,117.0,Not for honor. Not for country. For his wife and child.,6.3,433,Phillip Noyce
13-05-2005,Monster-in-Law,101.0,This relationship is going to be a real mother.,5.6,406,Robert Luketic
18-09-2013,Prisoners,153.0,Every moment matters.,7.9,3085,Denis Villeneuve
05-10-2001,Training Day,122.0,"The only thing more dangerous than the line being crossed, is the cop who will cross it.",7.3,1634,Antoine Fuqua
23-12-1999,Galaxy Quest,102.0,A comedy of Galactic Proportions.,6.9,710,Dean Parisot
04-07-2001,Scary Movie 2,83.0,No More Mercy. No More Shame. No More Sequels - Honest! - We Lied.,5.4,982,Keenen Ivory Wayans
22-11-2011,The Muppets,103.0,They're closer than you think.,6.5,501,James Bobin
21-08-1998,Blade,120.0,Part Man. Part Vampire. All Hero.,6.5,1905,Stephen Norrington
14-01-2005,Coach Carter,136.0,It begins on the street. It ends here.,7.3,496,Thomas Carter
07-04-2002,Changing Lanes,89.0,"An ambitious lawyer, a desperate father, they had no reason to meet, until today,",5.9,299,Roger Michell
11-04-1997,Anaconda,89.0,When You Can't Breathe You Can't Scream.,4.7,610,Luis Llosa
30-07-2000,Coyote Ugly,100.0,This party never ends.,5.8,575,David McNally
07-09-2003,Love Actually,135.0,The ultimate romantic comedy.,7.0,1869,Richard Curtis
25-11-1998,A Bug's Life,95.0,An epic presentation of miniature proportions.,6.8,2303,Andrew Stanton
19-10-2001,From Hell,122.0,Only the legend will survive.,6.6,741,Albert Hughes
07-10-1994,The Specialist,110.0,The government taught him to kill. Now he's using his skills to help a woman seek revenge against the Miami underworld.,5.5,313,Luis Llosa
16-08-1996,Tin Cup,135.0,Golf Pro. Love Amateur.,5.9,150,Ron Shelton
24-04-1968,"Yours, Mine and Ours",111.0,Their wedding night set new attendence records,6.2,26,Melville Shavelson
13-05-2005,Kicking & Screaming,95.0,One man could lead this team to glory. . . That man was busy,5.6,176,Jesse Dylan
15-01-2005,The Hitchhiker's Guide to the Galaxy,109.0,Don't leave Earth without it.,6.6,1315,Garth Jennings
12-12-2004,Fat Albert,93.0,,4.3,69,Joel Zwick
20-09-2007,Resident Evil: Extinction,94.0,The Extinction Is Coming...,6.1,1292,Russell Mulcahy
21-05-2014,Blended,117.0,"Single Dad, No Clue. Single Mum, Flying Solo.",6.6,1006,Frank Coraci
13-01-2006,Last Holiday,112.0,She always thought she was somebody special... and she was.,6.4,119,Wayne Wang
30-09-1994,The River Wild,111.0,The vacation is over,6.1,210,Curtis Hanson
14-07-1995,The Indian in the Cupboard,96.0,,5.9,134,Frank Oz
06-07-2012,Savages,131.0,Young Beautiful Deadly.,6.2,766,Oliver Stone
06-09-2004,Cellular,94.0,If the signal dies so does she,6.1,537,David R. Ellis
06-04-2003,Johnny English,88.0,"He knows no fear, he knows no danger, he knows nothing.",6.0,852,Peter Howitt
27-07-2006,The Ant Bully,88.0,The battle for the lawn is on.,5.5,366,John A. Davis
14-12-1984,Dune,137.0,"A world beyond your experience, beyond your imagination.",6.5,562,David Lynch
14-09-2007,Across the Universe,133.0,All you need is love.,7.1,410,Julie Taymor
19-12-2008,Revolutionary Road,119.0,How do you break free without breaking apart?,6.7,796,Sam Mendes
01-03-2006,16 Blocks,105.0,"For a New York cop and his witness, the distance between life and death just got very short.",6.2,661,Richard Donner
20-08-2008,Babylon A.D.,101.0,Kill or be Killed.,5.4,676,Mathieu Kassovitz
04-10-1996,The Glimmer Man,92.0,Two good cops. One bad situation.,4.7,100,John Gray
19-07-1996,Multiplicity,117.0,"Sometimes to get more out of life, you have to make more of yourself.",5.5,154,Harold Ramis
31-07-2009,Aliens in the Attic,86.0,The aliens vs. the Pearsons,5.3,244,John Schultz
09-01-2001,The Pledge,123.0,,6.5,215,Sean Penn
25-12-2005,The Producers,134.0,,6.1,151,Susan Stroman
06-06-1996,The Phantom,100.0,Slam Evil!,4.7,136,Simon Wincer
11-12-2000,All the Pretty Horses,117.0,Some passions can never be tamed.,5.8,60,Billy Bob Thornton
22-12-1995,Nixon,192.0,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",7.1,71,Oliver Stone
12-02-2010,The Ghost Writer,128.0,Read between the lies.,6.7,670,Roman Polanski
30-01-1998,Deep Rising,106.0,Full Scream Ahead,6.0,154,Stephen Sommers
15-09-2008,Miracle at St. Anna,160.0,,6.3,90,Spike Lee
21-12-2006,Curse of the Golden Flower,114.0,Unspeakable secrets are hidden within the Forbidden City.,6.6,203,Zhang Yimou
21-08-2008,Bangkok Dangerous,99.0,There's only one way out.,5.0,332,Danny Pang
05-04-2002,Big Trouble,85.0,They have forty-five minutes to save the world. They need forty-six.,6.3,80,Barry Sonnenfeld
04-10-2007,Love in the Time of Cholera,139.0,How long would you wait for love?,6.4,81,Mike Newell
31-01-1997,Shadow Conspiracy,103.0,,4.0,11,George P. Cosmatos
15-09-2011,Johnny English Reborn,101.0,One man. One mission. No chance.,6.0,1007,Oliver Parker
15-06-2012,Foodfight!,87.0,When good food... goes bad!,2.3,28,Lawrence Kasanoff
11-10-2012,Argo,120.0,The movie was fake. The mission was real.,7.1,3423,Ben Affleck
06-08-1993,The Fugitive,130.0,A murdered wife. A one-armed man. An obsessed detective. The chase begins.,7.2,1220,Andrew Davis
16-03-2010,The Bounty Hunter,110.0,"It's a Job. It Isn't Personal. Well, Maybe a Little...",5.5,858,Andy Tennant
18-10-1996,Sleepers,147.0,When friendship runs deeper than blood.,7.3,715,Barry Levinson
21-05-1985,Rambo: First Blood Part II,96.0,"What most people call hell, he calls home.",6.3,864,George P. Cosmatos
02-02-1996,The Juror,118.0,There is no defense.,5.5,89,Brian Gibson
23-02-1940,Pinocchio,88.0,For anyone who has ever wished upon a star.,6.9,1355,Ben Sharpsteen
19-11-1980,Heaven's Gate,219.0,The only thing greater than their passion for America... was their passion for each other.,6.4,55,Michael Cimino
12-01-2006,Underworld: Evolution,106.0,"My God. Brother, what have you done?",6.4,1528,Len Wiseman
10-11-2015,Victor Frankenstein,109.0,Discover the origin of the monster and his creation.,5.6,685,Paul McGuigan
21-12-2000,Finding Forrester,136.0,"In an ordinary place, he found the one person to make his life extraordinary.",7.0,302,Gus Van Sant
06-04-2000,28 Days,103.0,The Life of the Party... before she got a life.,6.0,208,Betty Thomas
02-02-2005,Unleashed,103.0,Serve No Master,6.6,518,Louis Leterrier
12-04-2002,The Sweetest Thing,84.0,A romantic comedy without the sugar.,5.3,280,Roger Kumble
30-06-1993,The Firm,154.0,Power can be murder to resist.,6.6,501,Sydney Pollack
01-05-2010,Charlie St. Cloud,99.0,Life is for living.,6.8,566,Burr Steers
13-01-2011,The Mechanic,93.0,Someone has to fix the problems.,6.3,1045,Simon West
12-03-2012,21 Jump Street,109.0,They thought the streets were mean. Then they went back to high school.,6.7,4074,Phil Lord
13-05-1999,Notting Hill,124.0,Can the most famous film star in the world fall for the man on the street?,7.0,1262,Roger Michell
21-06-2000,Chicken Run,84.0,This ain't no chick flick. It's poultry in motion.,6.5,1150,Nick Park
16-01-2004,Along Came Polly,90.0,"For the most cautious man on Earth, life is about to get interesting.",5.8,773,John Hamburg
30-06-1992,Boomerang,117.0,A Player Who's About to be Played.,5.4,134,Reginald Hudlin
27-06-2013,The Heat,117.0,Action's never been so hot!,6.5,1575,Paul Feig
12-06-1963,Cleopatra,248.0,The motion picture the world has been waiting for!,6.7,146,Joseph L. Mankiewicz
11-10-2012,Here Comes the Boom,105.0,No one will fight for his students like Mr. Voss.,6.0,593,Frank Coraci
03-04-2002,High Crimes,115.0,Everything you trust. Everything you know. May be a lie...,6.1,184,Carl Franklin
15-11-1996,The Mirror Has Two Faces,126.0,A story about just how wrong two people can be before they can be right.,6.5,47,Barbra Streisand
25-01-2002,The Mothman Prophecies,119.0,What do you see?,6.1,305,Mark Pellington
08-07-2009,Brüno,83.0,Borat was so 2006,5.4,518,Larry Charles
07-07-1989,Licence to Kill,133.0,His bad side is a dangerous place to be.,5.9,541,John Glen
11-03-2011,Red Riding Hood,100.0,Who's afraid?,5.6,922,Catherine Hardwicke
01-03-2001,15 Minutes,120.0,America Likes to Watch,5.7,191,
28-05-1993,Super Mario Bros.,104.0,This Ain't No Game.,4.0,232,Annabel Jankel
16-09-2005,Lord of War,122.0,"Where there's a will, there's a weapon",7.0,1335,Andrew Niccol
19-12-2002,Hero,99.0,One man's strength will unite an empire.,7.2,635,Zhang Yimou
26-01-2012,One for the Money,91.0,She's looking for a few not-so-good men,5.3,388,Julie Anne Robinson
25-12-2014,The Interview,112.0,The Film Hackers Tried To Get Banned,6.1,2304,Seth Rogen
02-12-2010,The Warrior's Way,100.0,Assassin. Hero. Legend.,6.3,136,Sngmoo Lee
28-10-2009,Micmacs,100.0,Non Stop Madness,6.8,148,Jean-Pierre Jeunet
08-11-2002,8 Mile,110.0,Every moment is another chance.,6.8,1626,Curtis Hanson
08-04-2015,Why I Did (Not) Eat My Father,100.0,These feet are made for walkin',5.3,125,Jamel Debbouze
11-05-2001,A Knight's Tale,132.0,He Will Rock You,6.6,907,Brian Helgeland
15-08-2003,The Medallion,88.0,,5.3,281,Gordon Chan
06-08-1999,The Sixth Sense,107.0,Not every gift is a blessing.,7.7,3147,M. Night Shyamalan
13-01-2012,Man on a Ledge,102.0,You can only push an innocent man so far,6.2,925,Asger Leth
13-10-2011,The Big Year,100.0,Everyone is searching for something.,5.6,248,David Frankel
22-06-1984,The Karate Kid,126.0,Only the 'Old One' could teach him the secrets of the masters.,6.9,891,John G. Avildsen
12-12-2013,American Hustle,138.0,Everyone Hustles To Survive,6.8,2807,David O. Russell
01-06-2009,The Proposal,108.0,Here comes the bribe...,6.7,1804,Anne Fletcher
24-09-1999,Double Jeopardy,105.0,Murder isn't always a crime.,6.2,278,Bruce Beresford
20-11-1989,Back to the Future Part II,108.0,"Roads? Where we're going, we don't need roads!",7.4,3829,Robert Zemeckis
14-07-2014,Lucy,89.0,The average person uses 10% of their brain capacity. Imagine what she could do with 100%.,6.3,5878,Luc Besson
11-02-2015,Fifty Shades of Grey,125.0,Are you curious?,5.2,3254,Sam Taylor-Johnson
25-07-2003,Spy Kids 3-D: Game Over,84.0,3rd Mission. 3rd Dimension.,4.7,511,Robert Rodriguez
24-07-1996,A Time to Kill,149.0,Experience a time you'll never forget.,7.0,509,Joel Schumacher
24-12-2003,Cheaper by the Dozen,98.0,Growing pains? They've got twelve of them!,6.0,699,Shawn Levy
24-12-2013,Lone Survivor,121.0,Based on True Acts of Courage,7.4,1526,Peter Berg
01-07-1992,A League of Their Own,128.0,"To achieve the incredible, you have to attempt the impossible.",6.7,354,Penny Marshall
13-05-2016,The Conjuring 2,134.0,The next true story from the case files of Ed and Lorraine Warren,7.0,1949,James Wan
30-09-2010,The Social Network,120.0,You don't get to 500 million friends without making a few enemies.,7.1,3391,David Fincher
06-02-2009,He's Just Not That Into You,129.0,Are you the exception...or the rule?,6.2,959,Ken Kwapis
13-04-2006,Scary Movie 4,83.0,Bury the grudge. Burn the village.  See the saw.,5.3,750,David Zucker
03-02-2000,Scream 3,116.0,Someone has taken their love of trilogies one step too far.,5.7,736,Wes Craven
25-05-1990,Back to the Future Part III,118.0,They've saved the best trip for last... But this time they may have gone too far.,7.1,2900,Robert Zemeckis
26-03-2015,Get Hard,100.0,An education in incarceration.,5.9,944,Etan Cohen
13-11-1992,Dracula,128.0,Love never dies.,7.1,1056,Francis Ford Coppola
06-08-2009,Julie & Julia,123.0,Based on Two True Stories,6.6,560,Nora Ephron
12-04-2013,42,128.0,The True Story Of An American Legend,6.8,787,Brian Helgeland
25-12-1999,The Talented Mr. Ripley,139.0,How far would you go to become someone else?,7.0,767,Anthony Minghella
12-11-2014,Dumb and Dumber To,110.0,The Second Parts Are More Fools,5.4,1127,Bobby Farrelly
17-02-2006,Eight Below,120.0,"The Most Amazing Story Of Survival, Friendship, And Adventure Ever Told.",6.7,542,Frank Marshall
24-09-2015,The Intern,121.0,Experience never gets old,7.1,1881,Nancy Meyers
14-01-2016,Ride Along 2,102.0,The brothers-in-law are back,6.1,555,Tim Story
25-09-1992,The Last of the Mohicans,112.0,The first American hero.,7.1,732,Michael Mann
29-10-2004,Ray,152.0,The extraordinary life story of Ray Charles.,7.2,467,Taylor Hackford
01-04-2005,Sin City,124.0,Walk down the right back alley in Sin City and you can find anything...,7.2,2691,Robert Rodriguez
01-02-2008,Vantage Point,90.0,"8 Strangers, 8 points of view.  1 Truth.",6.2,716,Pete Travis
20-03-2009,"I Love You, Man",105.0,He needed a best man... He got the worst.,6.5,515,John Hamburg
01-11-2001,Shallow Hal,114.0,Are You A Shallow Guy?,5.7,731,Bobby Farrelly
20-12-1991,JFK,189.0,The story that won’t go away.,7.5,502,Oliver Stone
26-01-2006,Big Momma's House 2,99.0,The momma of all comedies is back!!!,5.4,371,John Whitesell
01-03-2001,The Mexican,123.0,Love with the safety off.,5.8,441,Gore Verbinski
11-03-2009,17 Again,102.0,Who says you're only young once?,6.1,1350,Burr Steers
16-04-2014,The Other Woman,109.0,The oddest friends are about to get even,6.2,1437,Nick Cassavetes
26-08-2009,The Final Destination,82.0,Rest In Pieces,5.4,831,David R. Ellis
15-10-2015,Bridge of Spies,141.0,"In the shadow of war, one man showed the world what we stood for.",7.2,2583,Steven Spielberg
17-11-2001,Behind Enemy Lines,106.0,His only weapon is his will to survive.,6.0,457,John Moore
04-06-2010,Get Him to the Greek,109.0,Aaron Green has 72 hours to get a Rock Star from London to L.A. Pray for him.,5.9,612,Nicholas Stoller
15-10-2004,Shall We Dance?,107.0,Step out of the ordinary,5.9,297,Peter Chelsom
10-07-1998,Small Soldiers,110.0,"The few, the proud, and the small.",6.2,511,Joe Dante
31-07-1997,Spawn,96.0,Born in darkness. Sworn to justice.,5.0,336,Mark A.Z. Dipp\u00e9
23-01-2002,The Count of Monte Cristo,131.0,Prepare for adventure. Count on revenge.,7.3,453,Kevin Reynolds
17-03-2011,The Lincoln Lawyer,119.0,This Case is a Dangerous Game of Life and Death,7.0,902,Brad Furman
16-02-2011,Unknown,113.0,Take Back Your Life,6.5,1265,Jaume Collet-Serra
19-10-2006,The Prestige,130.0,Are You Watching Closely?,8.0,4391,Christopher Nolan
26-11-2014,Horrible Bosses 2,108.0,New Crime. Same Tools.,6.1,1536,Sean Anders
14-02-2013,Escape from Planet Earth,89.0,Earth's greatest secrets are about to break out!,5.7,332,Callan Brunker
07-12-2006,Apocalypto,139.0,No one can outrun their destiny.,7.3,1221,Mel Gibson
29-06-1987,The Living Daylights,130.0,Licensed to thrill.,6.2,440,John Glen
03-07-2010,Predators,107.0,Fear is Reborn,6.0,1206,Nimr\u00f3d Antal
18-06-1986,Legal Eagles,116.0,Tom Logan has a law partner who put a dog on the witness stand. A client who can't enter a room without a crime being committed. And a case that could turn out to be the murder of the year. His.,5.8,51,Ivan Reitman
12-03-2004,Secret Window,96.0,The most important part of a story is the ending.,6.4,972,David Koepp
16-06-2006,The Lake House,99.0,How do you hold on to someone you've never met?,6.5,670,Alejandro Agresti
29-07-2005,The Skeleton Key,104.0,Fearing Is Believing,6.4,573,Iain Softley
15-08-2012,The Odd Life of Timothy Green,105.0,He's a force of nature.,6.5,386,Peter Hedges
02-05-2008,Made of Honor,101.0,He'll do anything to get the groom out of the picture.,6.0,394,Paul Weiland
05-06-2014,Jersey Boys,134.0,,6.8,255,Clint Eastwood
18-11-1997,The Rainmaker,135.0,They were totally unqualified to try the case of a lifetime... but every underdog has his day.,6.7,235,Francis Ford Coppola
21-11-2003,Gothika,98.0,Because someone is dead doesn't mean they're gone.,5.8,629,Mathieu Kassovitz
03-12-1997,Amistad,155.0,Freedom is not given. It is our right at birth. But there are some moments when it must be taken.,6.8,316,Steven Spielberg
07-02-1992,Medicine Man,106.0,He turned his back on civilization. Only to discover he had the power to save it.,5.8,114,John McTiernan
25-12-2007,Aliens vs Predator: Requiem,94.0,The Last Place On Earth We Want To Be Is In The Middle,4.9,740,Colin Strause
19-12-1994,Ri¢hie Ri¢h,95.0,An adventure so big... even the world's richest kid can't afford to miss it!,5.4,415,Donald Petrie
11-08-2000,Autumn in New York,103.0,He fell in love for the first time. She fell in love forever.,5.7,135,Joan Chen
09-02-2007,Music and Lyrics,96.0,Share the music with someone you love.,6.2,554,Marc Lawrence
14-02-2011,Paul,104.0,Who's up for a close encounter?,6.5,1789,Greg Mottola
19-12-2012,The Guilt Trip,95.0,Get ready for one mother of a road trip,5.4,284,Anne Fletcher
11-04-2011,Scream 4,111.0,New Decade. New Rules.,6.1,902,Wes Craven
26-02-1999,8MM,123.0,You can't prepare for where the truth will take you.,6.1,474,Joel Schumacher
01-03-1991,The Doors,140.0,"The Ultimate Story of Sex, Drugs & Rock 'N' Roll",6.7,275,Oliver Stone
17-07-2014,Sex Tape,97.0,A movie about a movie they don't want you to see.,5.3,1695,Jake Kasdan
16-02-2000,Hanging Up,94.0,Every family has a few hang-ups.,5.0,40,Diane Keaton
12-08-2011,Final Destination 5,92.0,We all share a common destination.,5.9,866,Steven Quale
16-08-1999,Mickey Blue Eyes,102.0,A romantic comedy you can't refuse,5.3,140,Kelly Makin
12-10-2000,Pay It Forward,122.0,"When someone does you a big favor, don't pay it back... Pay It Forward",7.0,432,Mimi Leder
06-04-2005,Fever Pitch,103.0,A Comedy About The Game of Love.,5.9,182,Bobby Farrelly
20-03-2008,Drillbit Taylor,102.0,You get what you pay for,5.5,275,Steven Brill
22-05-2014,A Million Ways to Die in the West,116.0,Bring protection.,5.8,1468,Seth MacFarlane
01-07-1994,The Shadow,108.0,The Shadow Knows!,5.4,138,Russell Mulcahy
24-12-2011,Extremely Loud & Incredibly Close,129.0,"This is not a story about September 11th, it's a story about every day after.",6.9,708,Stephen Daldry
12-01-2010,Morning Glory,102.0,Breakfast TV just got interesting.,6.1,412,Roger Michell
09-11-2005,Get Rich or Die Tryin',117.0,If You Think You Know the Story...You Don't Know the Man.,6.3,186,Jim Sheridan
23-08-2000,The Art of War,117.0,Who is your foe?,5.6,135,Christian Duguay
23-11-2005,Rent,135.0,No day but today.,6.7,155,Chris Columbus
11-08-2000,Bless the Child,107.0,Mankind's last hope just turned six.,4.9,71,Chuck Russell
02-04-1999,The Out-of-Towners,90.0,"They fell in love 24 years ago... and in the next 24 hours, they'll remember why.",5.0,45,Sam Weisman
23-08-1996,The Island of Dr. Moreau,96.0,The gates of hell are unlocked.,4.6,147,John Frankenheimer
07-09-2001,The Musketeer,104.0,As you've never seen it before.,5.2,56,Peter Hyams
28-02-2008,The Other Boleyn Girl,115.0,Two sisters divided for the love of a king.,6.4,477,Justin Chadwick
16-02-2001,Sweet November,119.0,She Just Needed A Month To Change His Life For Ever.,6.4,278,Pat O'Connor
05-04-2007,The Reaping,99.0,What Hath God Wrought?,5.4,205,Stephen Hopkins
02-10-1973,Mean Streets,110.0,You don't make up for your sins in church. You do it in the streets...,7.2,345,Martin Scorsese
03-06-1994,Renaissance Man,128.0,"One Man's Mission To Teach The Few, The Proud... The Impossible!",5.9,81,Penny Marshall
27-07-2011,Colombiana,108.0,Revenge is beautiful.,6.5,824,Olivier Megaton
15-05-1998,Quest for Camelot,86.0,An evil knight gives nobility a bad name.,6.9,190,Frederik Du Chau
06-09-2002,City By The Sea,108.0,When you're searching for a killer... the last suspect you want to see is your son.,5.7,92,Michael Caton-Jones
15-01-1999,At First Sight,128.0,Science gave him sight. She gave him vision.,5.9,48,Irwin Winkler
16-01-2004,Torque,84.0,Circuit of Fire,4.7,119,Joseph Kahn
16-02-1996,City Hall,111.0,It started with a shootout on a rainswept street and ended in a scandal that shattered New York.,6.0,67,Harold Becker
22-09-1995,Showgirls,128.0,Beyond your wildest dreams. Beyond your wildest fantasies.,4.9,256,Paul Verhoeven
24-05-2006,Marie Antoinette,123.0,Rumor. Scandal. Fame. Revolution.,6.5,642,Sofia Coppola
21-04-1995,Kiss of Death,101.0,,5.7,81,Barbet Schroeder
06-10-2000,Get Carter,102.0,The Truth Hurts,4.8,145,Stephen T. Kay
09-09-2012,The Impossible,113.0,Nothing is more powerful than the human spirit.,7.0,2025,Juan Antonio Bayona
15-05-1987,Ishtar,107.0,,4.2,28,Elaine May
23-10-2009,Fantastic Mr. Fox,87.0,Dig the life fantastic!,7.5,1176,Wes Anderson
26-04-2002,Life or Something Like It,103.0,,5.7,124,Stephen Herek
28-02-1992,Memoirs of an Invisible Man,99.0,An adventure like you've never seen.,5.7,125,John Carpenter
25-04-2001,Amélie,122.0,One person can change your life forever.,7.8,3310,Jean-Pierre Jeunet
01-05-2004,New York Minute,91.0,,5.5,185,Dennie Gordon
22-10-2004,Alfie,103.0,Meet a man who never met a woman he didn't love.,5.6,248,Charles Shyer
02-02-2012,Big Miracle,107.0,A family of whales trapped beneath the ice. One unforgettable rescue.,6.6,152,Ken Kwapis
12-03-1999,The Deep End of the Ocean,106.0,The search for her son was over. The search for her family was just beginning.,5.9,54,Ulu Grosbard
09-08-2002,FearDotCom,101.0,The last site you'll ever see.,3.2,105,William Malone
23-10-2009,Cirque du Freak: The Vampire's Assistant,109.0,Meet Darren. He's sixteen going on immortal.,5.5,348,Paul Weitz
26-09-2003,Duplex,89.0,,5.9,482,Danny DeVito
07-11-2008,Soul Men,103.0,,6.3,47,Malcolm D. Lee
01-01-1980,Raise the Titanic,115.0,They've found the Titanic. There's just one thing left to do...,5.2,21,Jerry Jameson
05-08-1999,Universal Soldier: The Return,82.0,Prepare to become obsolete,4.2,135,Mic Rodgers
08-09-2009,Pandorum,108.0,Don't fear the end of the world. Fear what happens next.,6.5,774,Christian Alvart
03-12-2001,Impostor,102.0,"In the Future, not everyone is who they seem to be.",6.1,135,Gary Fleder
27-11-2002,Extreme Ops,93.0,Fear is a trigger,5.0,28,Christian Duguay
06-04-2001,Just Visiting,88.0,"They're not just from another time, they're from France.",4.8,171,Jean-Marie Poir\u00e9
05-04-2007,Sunshine,107.0,"If the sun dies, so do we.",7.0,1182,Danny Boyle
07-03-2012,A Thousand Words,91.0,He only has 1000 words left to discover what matters the most.,6.0,373,Brian Robbins
12-12-2008,Delgo,94.0,,5.4,15,Marc F. Adler
16-02-2015,The Gunman,115.0,Armed With the Truth.,5.5,392,Pierre Morel
21-07-2006,Stormbreaker,93.0,Rule the school. Save the world.,5.1,213,Geoffrey Sax
12-04-2007,Disturbia,105.0,"The quieter the street, the darker the secrets....",6.6,1006,D.J. Caruso
14-09-1995,Hackers,107.0,"There is no right or wrong, only fun and boring",6.2,398,Iain Softley
03-09-2007,The Hunting Party,101.0,How can they find the world's most wanted war criminal when the C.I.A. can't? [by actually looking],6.6,96,Richard Shepard
11-03-1994,The Hudsucker Proxy,111.0,They took him for a fall guy... but he threw them for a hoop.,7.1,275,Joel Coen
12-12-2007,The Warlords,126.0,,6.3,83,Peter Chan
17-07-2005,Nomad: The Warrior,112.0,Courage know no limit,4.3,17,Sergei Bodrov Jr.
01-08-2013,Snowpiercer,126.0,"AD 2031, the passengers in the train are the only survivors on Earth.",6.7,2854,Bong Joon-ho
12-10-2011,A Monster in Paris,90.0,,6.5,313,Bibo Bergeron
24-09-2004,The Last Shot,90.0,,5.9,15,Jeff Nathanson
11-05-1994,The Crow,102.0,Real love is forever.,7.3,953,Alex Proyas
10-07-2015,Baahubali: The Beginning,159.0,,7.5,135,S.S. Rajamouli
14-08-2009,The Time Traveler's Wife,107.0,,6.7,798,Robert Schwentke
02-02-2007,Because I Said So,102.0,"She's just your normal, overprotective, overbearing, over-the-top mother.",5.8,191,Michael Lehmann
04-10-2012,Frankenweenie,87.0,The electrifying dog is back from beyond the grave,6.6,932,Tim Burton
25-08-2005,Serenity,119.0,Can't stop the signal.,7.4,1264,Joss Whedon
20-02-2004,Against the Ropes,106.0,,4.5,32,Charles S. Dutton
17-06-1983,Superman III,125.0,If the world's most powerful computer can control even Superman...no one on earth is safe.,5.3,490,Richard Lester
25-12-2013,Grudge Match,113.0,DeNiro vs Stallone,6.0,433,Peter Segal
10-07-2008,Red Cliff,150.0,The future will be decided.,7.1,205,John Woo
26-09-2002,Sweet Home Alabama,108.0,Sometimes What You're Looking For Is Right Where You Left It.,6.0,394,Andy Tennant
24-07-2009,The Ugly Truth,96.0,The battle of the sexes is on.,6.4,972,Robert Luketic
29-03-1996,Sgt. Bilko,90.0,All he ever wanted was an honest week's pay for an honest day's work.,5.5,94,Jonathan Lynn
07-08-2002,Spy Kids 2: The Island of Lost Dreams,100.0,Little Spies. Big Attitudes,5.3,521,Robert Rodriguez
17-11-1994,Star Trek: Generations,118.0,Boldly go.,6.4,452,David Carson
08-01-2013,The Grandmaster,130.0,"In Martial Arts there is no right or wrong, only the last man standing.",6.3,273,Wong Kar-wai
15-03-2011,Water for Elephants,120.0,Life is the most spectacular show on earth.,6.7,850,Francis Lawrence
20-05-2014,Dragon Nest: Warriors' Dawn,88.0,,6.8,19,Yuefeng Song
17-09-1999,The Hurricane,146.0,His greatest fight was for justice.,7.2,396,Norman Jewison
24-05-2002,Enough,114.0,Everyone has a limit.,6.2,264,Michael Apted
23-03-2001,Heartbreakers,123.0,Caution: Dangerous Curves Ahead,5.7,254,David Mirkin
16-04-2015,Paul Blart: Mall Cop 2,94.0,Vegas has a new high roller.,5.0,567,Andy Fickman
15-05-2001,Angel Eyes,102.0,"The deeper you look, the more you will find.",5.6,88,Luis Mandoki
21-12-2001,Joe Somebody,99.0,Someone just picked on the wrong nobody.,5.5,40,John Pasquin
24-08-1999,The Ninth Gate,133.0,Every book has a life of its own.,6.3,756,Roman Polanski
27-09-1996,Extreme Measures,118.0,Not all surgery is intended to cure.,5.7,80,Michael Apted
04-09-2001,Rock Star,105.0,The story of a wanna be who got to be.,6.0,190,Stephen Herek
06-11-2009,Precious,110.0,Life is hard. Life is short. Life is painful. Life is rich. Life is....Precious.,6.9,417,Lee Daniels
02-02-1996,White Squall,129.0,,6.3,86,Ridley Scott
25-06-1982,The Thing,109.0,Man is The Warmest Place to Hide.,7.8,1588,John Carpenter
02-09-2013,Riddick,119.0,Survival Is His Revenge,6.2,2035,David Twohy
31-10-1997,Switchback,118.0,The hunter becomes the hunted.,5.8,52,Jeb Stuart
30-11-2001,Texas Rangers,110.0,,5.4,19,Steve Miner
07-10-2008,City of Ember,90.0,Escape is the only option,6.2,605,Gil Kenan
07-09-2012,The Master,137.0,Every Man Needs a Guide,7.0,701,Paul Thomas Anderson
17-12-2007,Virgin Territory,93.0,Anything Can Happen When You're In ... Virgin Territory,4.3,75,David Leland
10-10-2008,The Express,130.0,He changed our country... one yard at a time.,7.1,71,Gary Fleder
14-01-2016,The 5th Wave,112.0,Protect Your Own,5.6,1945,J Blakeson
25-11-2015,Creed,133.0,Your legacy is more than a name,7.3,1915,Ryan Coogler
15-09-2010,The Town,125.0,Welcome to the bank robbery capital of America.,7.0,1468,Ben Affleck
17-05-2012,What to Expect When You're Expecting,110.0,It's too late to pull out now.,5.8,594,Kirk Jones
05-09-2008,Burn After Reading,96.0,Intelligence is relative.,6.5,1222,Joel Coen
